"","region","total_population","percent_white","percent_black","percent_asian","percent_hispanic","per_capita_income","median_rent","median_age"
"165",5107,21253,35,62,0,1,16830,343,37.4
"166",5109,11250,88,3,0,7,18377,320,40.7
"167",5111,24403,89,8,0,2,16919,313,39.8
"168",5113,20540,89,0,0,6,19116,362,43.4
"169",5115,62248,86,3,1,7,19918,459,35.3
"170",5117,8573,85,13,0,1,18137,306,45
"171",5119,386106,55,35,2,6,27414,592,36
"172",5121,17896,96,0,0,2,18871,312,41.7
"173",5123,27914,42,52,0,4,15511,390,37
"174",5125,109844,88,5,1,4,25962,595,38.8
"175",5127,11111,85,0,3,7,18934,314,41.3
"176",5129,8101,95,0,1,1,16731,285,46.6
"177",5131,126536,72,6,4,13,23222,477,36.9
"178",5133,17137,60,4,0,31,16021,342,34.1
"179",5135,17203,95,0,1,2,16714,399,46.6
"180",5137,12517,96,0,1,1,17403,297,46.9
"181",5139,41307,62,33,1,4,20718,376,39.9
"182",5141,17147,94,1,0,3,18782,345,46.7
"183",5143,207911,73,3,2,16,23264,550,31.2
"184",5145,77767,89,4,0,4,21793,456,36.4
"185",5147,7180,69,28,0,1,19087,263,43.6
"186",5149,22014,76,2,1,19,16992,377,39.6
"187",6001,1535248,34,12,27,23,35763,1200,36.8
"188",6003,1165,71,1,1,7,25527,850,44.3
"189",6005,37422,80,2,1,13,27347,874,49.1
"190",6007,220542,75,1,4,15,23787,787,37
"191",6009,45147,83,1,1,11,29329,868,50
"192",6011,21366,39,1,1,56,21579,733,33.9
"193",6013,1065794,47,9,15,25,38219,1250,38.6
"194",6015,28357,64,3,3,18,19072,720,39.1
"195",6017,180982,80,1,4,12,34884,947,44.1
"196",6019,939605,32,5,9,51,20208,748,30.9
"197",6021,28054,55,1,3,38,22148,604,37.2
"198",6023,134613,77,1,2,10,23540,780,37.5
"199",6025,175201,13,3,1,81,16763,611,31.8
"200",6027,18482,65,1,1,20,27441,682,45.7
"201",6029,848204,38,5,4,50,20295,738,30.8
"202",6031,151806,35,6,3,52,18429,723,31.1
"203",6033,64260,73,2,1,18,21537,729,45.1
"204",6035,34018,66,8,1,18,19931,663,37.3
"205",6037,9893481,28,8,14,48,27749,1110,35.1
"206",6039,151435,37,3,2,54,17847,800,33.2
"207",6041,254643,73,3,6,16,56791,1520,44.8
"208",6043,18061,83,1,1,10,26988,679,50.1
"209",6045,87497,68,1,2,23,23306,824,41.8
"210",6047,258707,31,3,8,56,18177,725,30
"211",6049,9468,78,1,0,14,21200,472,46.9
"212",6051,14217,68,0,1,27,28046,1012,37.2
"213",6053,420569,32,3,6,56,24775,1118,33
"214",6055,137837,56,2,7,33,34795,1232,39.8
"215",6057,98509,86,0,1,9,32346,1044,48.5
"216",6059,3051771,43,2,18,34,34057,1413,36.4
"217",6061,355924,75,1,6,13,34886,1102,40.4
"218",6063,19586,85,1,1,8,29806,638,49.9
"219",6065,2228528,39,6,6,46,23591,1015,33.9
"220",6067,1435207,48,10,14,22,26739,899,35.1
"221",6069,56115,37,1,2,57,25914,1101,34.5
"222",6071,2056915,32,8,6,50,21332,965,31.9
"223",6073,3138265,48,5,11,32,30668,1219,34.8
"224",6075,817501,42,6,33,15,48486,1428,38.5
"225",6077,693177,35,7,14,39,22589,872,32.9
"226",6079,272094,71,2,3,21,29954,1104,39.5
"227",6081,729543,42,3,25,25,45732,1509,39.3
"228",6083,427288,47,2,5,43,30352,1242,33.5
"229",6085,1812208,35,2,32,27,41513,1473,36.4
"230",6087,264808,59,1,4,32,32295,1282,36.9
"231",6089,177966,82,1,2,9,23670,743,42.1
"232",6091,3127,87,1,0,9,24996,685,51.3
"233",6093,44503,79,1,1,11,22293,642,47.1
"234",6095,417258,40,14,14,24,28929,1141,37.1
"235",6097,487469,66,1,4,25,32835,1161,40.2
"236",6099,518321,46,3,5,42,21663,825,33
"237",6101,94787,50,2,14,29,23602,752,34.8
"238",6103,63241,71,1,1,22,20439,674,39.9
"239",6105,13638,83,1,1,7,22905,640,49.8
"240",6107,446644,32,1,3,61,17894,678,29.9
"241",6109,54728,81,2,1,11,25943,762,48
"242",6111,829017,48,2,7,41,32930,1381,36.6
"243",6113,202288,49,2,13,31,27730,991,30.7
"244",6115,72574,58,3,7,26,19244,729,31.9
"245",8001,452030,53,3,4,38,24195,837,32.6
"246",8003,15933,49,1,1,46,19487,496,31.3
"247",8005,585333,63,10,5,18,32595,858,35.9
"248",8007,12109,78,0,0,18,29793,744,47.8
"249",8009,3761,87,0,0,9,22318,305,47.8
"250",8011,6141,54,11,1,31,15081,442,40.4
"251",8013,301072,79,1,4,13,38011,998,35.7
"252",8014,57171,79,1,6,12,37442,1046,35.9
"253",8015,18063,86,2,0,10,27182,691,47.8
"254",8017,2189,85,0,1,14,23647,373,38.6
"255",8019,9048,92,0,1,5,41716,700,46.8
"256",8021,8256,43,0,0,55,17316,391,38.2
"257",8023,3552,31,0,1,65,20742,378,49.5
"258",8025,5629,59,7,1,29,17187,396,38.9
"259",8027,4245,94,1,0,4,25761,533,54.6
"260",8029,30659,83,1,1,14,24771,614,46.7
"261",8031,619297,53,10,3,31,33251,796,33.8
"262",8033,1709,92,0,0,5,22880,541,48.2
"263",8035,293014,85,1,4,8,43634,1154,36.9
"264",8037,52151,67,0,1,30,39497,1085,34.7
"265",8039,23295,90,0,1,6,36077,948,43.8
"266",8041,634423,72,6,3,15,28867,782,33.8
"267",8043,46850,76,6,1,13,18954,601,43.4
"268",8045,56687,69,0,1,28,26603,992,35.1
"269",8047,5477,89,0,0,7,38022,902,44.8
"270",8049,14535,89,1,1,8,31684,799,41.5
"271",8051,15421,88,0,1,9,27654,725,34.1
"272",8053,809,96,0,0,3,36365,520,56.5
"273",8055,6625,58,1,1,35,24058,514,52.6
"274",8057,1371,87,0,0,12,25936,557,46.7
"275",8059,540669,80,1,2,15,36087,870,40.4
"276",8061,1423,94,0,1,5,22482,368,40.9
"277",8063,8189,77,3,0,19,21850,440,38.8
"278",8065,7332,62,1,1,34,25029,749,34.9
"279",8067,52039,80,0,1,12,30151,870,38.3
"280",8069,305798,84,1,2,11,30740,872,35.5
"281",8071,15136,54,1,1,42,22180,507,44.4
"282",8073,5442,74,10,0,13,19703,505,39.3
"283",8075,22607,81,1,1,16,22581,478,37.2
"284",8077,147432,83,1,1,13,26700,714,38.2
"285",8079,761,95,1,0,3,42255,655,60.8
"286",8081,13447,82,0,1,14,24577,622,36.3
"287",8083,25512,75,0,0,12,23548,553,42.9
"288",8085,41020,77,0,0,20,22897,678,42.8
"289",8087,28308,61,3,0,34,20680,536,36
"290",8089,18817,56,1,0,41,19078,412,40.5
"291",8091,4475,95,0,1,3,33015,929,52.5
"292",8093,16131,91,0,1,5,31504,967,47.5
"293",8095,4383,73,0,0,25,20720,425,40.4
"294",8097,17173,87,0,2,9,51814,1240,43.3
"295",8099,12473,62,0,0,36,18941,394,37.1
"296",8101,160048,54,2,1,42,21940,587,38.9
"297",8103,6770,85,0,0,11,27586,644,38
"298",8105,11913,54,1,0,43,20557,468,41.4
"299",8107,23409,91,0,1,7,34873,1067,39.7
"300",8109,6200,56,0,1,40,20726,434,44.6
"301",8111,659,76,0,1,19,24711,725,43.2
"302",8113,7496,88,0,1,9,40827,1054,38.9
"303",8115,2376,80,0,1,15,21536,361,47.2
"304",8117,28091,82,1,1,14,34025,1065,36
"305",8119,23276,90,1,1,6,31075,685,48
"306",8121,4796,89,1,0,9,24977,376,44.2
"307",8123,258780,67,1,1,28,25468,703,33.5
"308",8125,10093,78,0,0,21,22498,440,35.8
"309",9001,926233,66,10,5,17,48721,1103,39.7
"310",9003,895827,65,12,4,16,34698,824,40
"311",9005,188629,91,1,2,5,37667,762,44.9
"312",9007,165690,86,4,3,5,39992,875,43.4
"313",9009,862611,67,12,4,16,32523,875,39.4
"314",9011,274090,78,5,4,9,33782,865,40.5
"315",9013,152366,87,3,4,5,34392,878,38
"316",9015,118115,85,2,1,10,27893,707,39.7
"317",10001,165030,65,23,2,6,24851,752,36.7
"318",10003,542784,61,23,5,9,32406,862,37.2
"319",10005,200632,75,12,1,9,26908,709,45.9
"320",11001,619371,35,49,3,10,45290,1154,33.8
"321",12001,249848,63,20,5,9,24857,723,30.3
"322",12003,27069,82,14,1,2,19852,563,36.2
"323",12005,170704,79,10,2,5,24498,748,39.7
"324",12007,27981,74,20,1,4,17749,482,39.9
"325",12009,545667,77,10,2,8,27009,756,45.9
"326",12011,1784889,42,26,3,26,28205,1029,39.8
"327",12013,14700,78,14,0,5,14675,365,40.1
"328",12015,161276,85,5,1,6,26286,743,56.7
"329",12017,140214,89,3,2,5,23148,629,54.6
"330",12019,192665,76,10,3,8,26577,834,38.7
"331",12021,328209,65,6,1,26,36439,881,47.6
"332",12023,67568,74,17,1,5,19306,588,39.9
"333",12027,34651,56,13,1,30,15088,533,38.6
"334",12029,16234,86,8,1,2,16851,428,45.6
"335",12031,872598,56,29,4,8,26143,762,35.8
"336",12033,300795,66,22,3,5,23441,686,37.4
"337",12035,97301,76,11,2,9,24497,868,48.2
"338",12037,11554,79,15,1,5,19843,491,42.7
"339",12039,46860,33,55,0,10,17615,468,39.4
"340",12041,16917,88,6,0,5,20180,544,40.6
"341",12043,13080,61,12,1,21,16011,586,43.8
"342",12045,15793,74,18,1,4,18546,576,44.2
"343",12047,14655,55,35,0,9,16295,345,40
"344",12049,27336,48,7,1,43,15366,519,33.7
"345",12051,38346,35,12,1,49,16133,579,33
"346",12053,173119,82,5,1,11,21411,727,48
"347",12055,98275,70,9,1,18,20072,572,51.8
"348",12057,1257913,53,16,3,25,27149,812,36.3
"349",12059,19864,88,5,1,3,16845,419,42.3
"350",12061,139356,77,9,1,11,30532,720,49.6
"351",12063,49326,66,26,1,4,17525,422,40.6
"352",12065,14469,57,36,0,4,21184,480,44.2
"353",12067,8745,73,15,0,12,18660,388,35.3
"354",12069,300926,73,9,2,13,24183,765,46
"355",12071,633968,70,8,1,19,27348,780,46
"356",12073,278624,59,30,3,6,26196,728,29.7
"357",12075,40289,81,9,1,8,18304,520,45.8
"358",12077,8308,71,17,1,7,16266,406,37.7
"359",12079,19070,55,38,0,5,15538,417,40.9
"360",12081,329487,73,9,2,15,27322,802,45.9
"361",12083,333503,73,12,1,11,21992,625,47.6
"362",12085,147786,80,5,1,12,34057,816,50.1
"363",12086,2549075,16,17,2,65,23174,949,38.5
"364",12087,74213,70,6,1,21,33974,1197,46.5
"365",12089,74163,87,6,1,3,28926,793,43.4
"366",12091,185852,76,9,3,7,28600,810,37.4
"367",12093,39642,65,9,0,24,17787,545,39.6
"368",12095,1175416,45,20,5,28,24877,851,34
"369",12097,279837,39,9,3,47,19007,836,35.6
"370",12099,1339221,59,17,2,20,32858,994,43.7
"371",12101,468194,79,4,2,12,23736,740,44
"372",12103,920015,76,10,3,8,29262,793,46.6
"373",12105,610295,64,14,2,18,21285,670,40.1
"374",12107,73683,72,16,1,9,18377,485,43.7
"375",12109,197115,85,5,2,6,36836,921,42.5
"376",12111,281015,61,19,2,17,23285,812,42.9
"377",12113,155579,84,5,2,5,26861,803,39.2
"378",12115,383094,84,4,1,8,32313,862,53.1
"379",12117,427184,66,11,4,18,28675,876,38.6
"380",12119,98409,83,9,1,6,27504,639,63.8
"381",12121,42865,76,12,0,9,18431,467,41.8
"382",12123,22660,73,21,0,4,17045,373,41.4
"383",12125,15307,71,20,1,5,13590,432,39.2
"384",12127,496268,75,10,2,12,23973,741,45.7
"385",12129,30824,79,15,0,3,21797,667,39.6
"386",12131,56590,85,5,1,6,25845,791,43.1
"387",12133,24702,78,15,0,3,17385,413,40.5
"388",13001,18354,70,19,1,9,19643,328,38.4
"389",13003,8332,57,17,0,24,15958,232,34.7
"390",13005,11159,75,17,0,7,18558,332,36
"391",13007,3410,39,60,0,0,17019,275,42
"392",13009,46018,54,41,2,2,18622,516,34.1
"393",13011,18333,89,3,1,6,20231,494,38.8
"394",13013,69933,74,11,3,9,21379,663,34.2
"395",13015,100382,80,10,1,8,21022,598,36.7
"396",13017,17576,57,35,0,6,14204,383,37.7
"397",13019,19174,82,11,1,5,16784,332,38.1
"398",13021,155524,42,52,2,3,20982,534,35.4
"399",13023,12961,69,27,0,2,20156,425,37.4
"400",13025,18409,93,3,1,2,16938,362,38.5
"401",13027,15885,58,35,0,5,19409,382,40.9
"402",13029,31410,76,14,1,5,27556,800,35.6
"403",13031,71190,65,28,2,4,18587,537,25.9
"404",13033,23223,47,50,0,3,16171,329,35.9
"405",13035,23563,68,28,0,3,20363,612,38.3
"406",13037,6592,33,59,1,5,14868,269,38.7
"407",13039,50799,71,19,1,5,22701,729,31.4
"408",13043,11045,63,24,1,11,17974,335,37.3
"409",13045,111160,73,18,1,6,21227,588,33.7
"410",13047,64606,92,3,1,2,21690,534,38.8
"411",13049,13080,63,26,0,11,17102,509,39
"412",13051,271102,50,40,2,6,25093,747,34.1
"413",13053,12193,62,17,3,14,20042,1190,23.5
"414",13055,25670,83,11,1,4,16045,379,39.9
"415",13057,218277,81,6,2,10,29615,809,36.7
"416",13059,118864,57,26,4,10,19295,619,26.2
"417",13061,3133,35,58,0,5,12982,257,40.7
"418",13063,262455,14,65,5,13,17950,686,32
"419",13065,6766,67,27,0,4,17815,300,37.4
"420",13067,699235,56,25,5,12,33069,803,35.7
"421",13069,42841,60,28,0,10,17031,349,35
"422",13071,45781,58,23,0,17,17025,366,34.9
"423",13073,128213,73,16,4,5,30949,837,36.7
"424",13075,17066,65,28,0,6,18592,408,36.5
"425",13077,129397,72,17,2,7,26757,722,37.1
"426",13079,12607,73,23,1,1,20556,436,41.8
"427",13081,23521,51,43,1,3,18185,415,37.8
"428",13083,16580,94,1,1,2,21690,502,39.4
"429",13085,22387,93,0,1,4,27330,789,40.8
"430",13087,27676,52,41,1,5,18059,420,37.8
"431",13089,700308,30,53,5,9,28810,792,34.6
"432",13091,21502,65,29,1,3,18114,374,39
"433",13093,14554,43,50,0,6,14510,336,41.1
"434",13095,94220,28,67,1,2,18619,478,33.6
"435",13097,133486,48,39,2,9,23626,750,35.3
"436",13099,10787,47,51,0,1,17579,290,39.4
"437",13101,4053,70,2,1,25,15861,438,30.5
"438",13103,52961,80,14,1,3,24824,710,36
"439",13105,19907,64,30,0,5,18835,411,41.5
"440",13107,22669,60,33,0,4,17064,365,37.1
"441",13109,10902,57,29,0,12,18998,380,35.6
"442",13111,23614,96,0,0,2,19164,457,48.9
"443",13113,107105,67,20,4,7,35344,886,42.7
"444",13115,96147,73,14,1,10,20500,492,38
"445",13117,182916,79,3,7,9,34582,940,37.3
"446",13119,21998,85,9,1,4,18234,392,40.2
"447",13121,948554,41,44,6,8,36757,802,34.3
"448",13123,28308,87,1,0,10,21317,526,43.5
"449",13125,3094,89,7,0,2,17984,352,39.9
"450",13127,80280,65,25,1,6,26724,626,40.1
"451",13129,55409,79,4,1,14,19177,512,36.3
"452",13131,25143,59,29,0,10,15734,453,38.4
"453",13133,16091,55,37,0,6,27828,400,46.9
"454",13135,825911,43,24,11,20,25932,822,34
"455",13137,43181,79,4,2,13,18910,485,38.7
"456",13139,182841,63,7,2,26,23645,664,34.9
"457",13141,9233,24,75,0,1,12381,350,42.7
"458",13143,28594,92,5,1,1,19789,494,39.8
"459",13145,32267,77,17,1,3,31482,668,42.5
"460",13147,25348,76,20,0,3,20371,392,42.9
"461",13149,11708,85,10,0,2,18964,391,39.9
"462",13151,206349,51,37,3,6,25299,840,35.6
"463",13153,143205,60,29,3,6,25195,656,34.4
"464",13155,9571,69,28,0,1,18207,302,37.6
"465",13157,60577,83,7,2,6,23247,576,37.5
"466",13159,13748,72,21,1,4,21297,497,37.9
"467",13161,15042,73,16,0,11,17684,245,35.9
"468",13163,16696,42,55,0,3,14757,317,38
"469",13165,8642,57,35,0,5,17565,333,40
"470",13167,9903,62,34,2,1,16807,257,40.6
"471",13169,28650,73,25,1,1,24485,567,38.5
"472",13171,18139,65,31,1,2,18800,422,38.1
"473",13173,10250,68,22,2,5,17264,425,33.9
"474",13175,48203,60,36,1,2,18625,403,38.2
"475",13177,28631,75,20,2,2,26357,677,36.1
"476",13179,64899,43,40,2,11,20791,740,27.4
"477",13181,7894,65,33,0,0,20641,305,45.7
"478",13183,15285,59,26,0,12,17158,499,29.9
"479",13185,111334,55,36,2,5,18897,598,29.5
"480",13187,30428,91,2,0,5,20908,674,36.1
"481",13189,21697,56,41,0,2,17922,412,38.4
"482",13191,14142,61,34,0,2,21484,403,43.8
"483",13193,14455,33,60,2,4,13865,290,39.4
"484",13195,28044,85,8,1,4,19939,505,39.1
"485",13197,8673,58,32,1,7,17479,295,40.8
"486",13199,21695,57,41,0,1,18821,444,42.1
"487",13201,6054,69,30,0,1,19674,365,42.3
"488",13205,23340,46,48,0,4,15694,340,37.2
"489",13207,26613,72,24,1,2,22888,493,41.1
"490",13209,9050,67,27,0,6,16460,351,37.8
"491",13211,17870,72,24,0,3,25933,624,41.2
"492",13213,39504,84,1,0,13,16449,447,36.9
"493",13215,194949,43,44,2,7,22856,605,33.3
"494",13217,100808,52,40,1,5,21484,723,34.9
"495",13219,33240,86,5,4,5,33801,688,39.1
"496",13221,14730,76,17,0,4,20493,512,41.9
"497",13223,143845,75,17,1,5,24168,807,34.4
"498",13225,27481,44,46,1,7,19431,455,33.6
"499",13227,29486,94,1,1,3,26686,606,42.8
"500",13229,18774,84,9,0,5,20001,377,38.7
"501",13231,17807,86,11,0,1,22191,590,38.4
"502",13233,41308,73,13,1,12,18336,463,37.3
"503",13235,11775,63,30,0,6,17781,331,42.1
"504",13237,21241,66,27,0,6,26321,473,44.6
"505",13239,2396,42,56,0,0,14201,407,42.8
"506",13241,16271,88,1,1,8,22260,523,46.4
"507",13243,7498,35,59,2,1,18094,357,43.9
"508",13245,201081,38,53,2,4,20526,582,33.2
"509",13247,85650,40,47,2,10,23461,742,37.1
"510",13249,5017,65,27,0,7,19037,365,40
"511",13251,14455,54,42,0,1,18640,328,40.1
"512",13253,8831,63,33,1,3,17641,378,44
"513",13255,64011,60,33,1,4,19783,520,37.2
"514",13257,25910,84,13,0,2,18557,420,40.7
"515",13259,6007,28,59,0,13,13238,250,38.3
"516",13261,32099,41,52,1,5,17879,414,34.3
"517",13263,6689,39,59,0,1,16993,295,46.3
"518",13265,1766,40,55,0,4,14381,309,42.5
"519",13267,25343,59,28,0,10,15280,365,36.1
"520",13269,8595,58,39,0,2,17078,331,40.7
"521",13271,16391,51,36,0,13,12489,336,39.4
"522",13273,9246,36,61,0,2,16836,308,41
"523",13275,44692,58,37,1,3,19983,476,39.1
"524",13277,40537,57,29,1,10,18933,423,34.4
"525",13279,27229,62,25,1,11,18716,372,35.9
"526",13281,10551,96,1,0,2,20419,520,51.7
"527",13283,6817,68,30,0,0,19410,322,38.7
"528",13285,67776,60,34,2,3,21443,488,36.1
"529",13287,8637,54,40,1,4,17609,360,40.2
"530",13289,8808,56,43,0,0,17952,335,45.2
"531",13291,21399,95,1,1,3,22156,431,51.7
"532",13293,26918,68,28,1,2,17978,416,42.1
"533",13295,68481,92,4,0,2,20865,443,40
"534",13297,84397,78,15,1,4,22824,616,37.9
"535",13299,36008,65,30,1,3,18842,418,38.2
"536",13301,5706,37,60,1,0,17884,331,43.4
"537",13303,20982,44,53,0,2,17515,321,39.1
